province,city,num
上海,上海,52
北京,北京,32
成都,成都,25
武汉,武汉,22
天津,天津,17
南京,南京,19
浙江,杭州,19
浙江,金华,8
浙江,宁波,8
浙江,绍兴,8
浙江,温州,8
浙江,台州,4
浙江,湖州,3
浙江,嘉兴,3
浙江,丽水,3
浙江,衢州,1
江苏,苏州,13
江苏,无锡,9
江苏,常州,6
江苏,南通,5
江苏,盐城,5
江苏,扬州,5
江苏,镇江,5
江苏,淮安,4
江苏,宿迁,4
江苏,徐州,4
江苏,连云港,1
江苏,泰州,1
山东,青岛,12
山东,济南,5
山东,菏泽,4
山东,济宁,4
山东,潍坊,4
山东,威海,3
山东,德州,2
山东,临沂,2
山东,日照,2
山东,淄博,2
山东,东营,1
山东,泰安,1
山东,烟台,1
河南,郑州,10
河南,南阳,5
河南,焦作,2
河南,洛阳,2
河南,平顶山,2
河南,许昌,2
河南,周口,2
河南,安阳,1
河南,鹤壁,1
河南,开封,1
河南,商丘,1
河南,新乡,1
河南,信阳,1
河南,濮阳,1
辽宁,大连,12
辽宁,沈阳,9
辽宁,抚顺,2
辽宁,鞍山,1
辽宁,朝阳,1
辽宁,丹东,1
辽宁,锦州,1
辽宁,盘锦,1
辽宁,营口,1
河北,唐山,6
河北,石家庄,4
河北,保定,3
河北,邯郸,2
河北,衡水,2
河北,承德,1
河北,廊坊,1
河北,秦皇岛,1
河北,邢台,1
河北,张家口,1
安徽,合肥,9
安徽,滁州,3
安徽,安庆,1
安徽,蚌埠,1
安徽,阜阳,1
安徽,淮北,1
安徽,黄山,1
安徽,六安,1
安徽,宿州,1
安徽,芜湖,1
陕西,西安,15
陕西,宝鸡,2
陕西,安康,1
陕西,咸阳,1
湖南,长沙,13
湖南,株洲,2
湖南,常德,1
湖南,娄底,1
湖南,湘潭,1
重庆,重庆,18
四川,达州,4
四川,泸州,4
四川,德阳,2
四川,资阳,2
四川,巴中,1
四川,广安,1
四川,乐山,1
四川,南充,1
四川,宜宾,1
湖北,荆门,3
湖北,黄冈,2
湖北,宜昌,2
湖北,黄石,1
湖北,荆州,1
湖北,襄阳,1
湖北,孝感,1
江西,南昌,6
江西,上饶,3
江西,九江,2
内蒙古自治,呼和浩特,3
内蒙古自治,包头,2
内蒙古自治,赤峰,2
内蒙古自治,巴彦淖尔,1
内蒙古自治,鄂尔多斯,1
内蒙古自治,呼伦贝尔,1
内蒙古自治,通辽,1
山西,太原,4
山西,长治,2
山西,临汾,2
山西,大同,1
山西,晋城,1
山西,晋中,1
吉林,长春,8
吉林,四平,1
吉林,松原,1
宁夏回族自治,银川,3
宁夏回族自治,石嘴山,1
甘肃,白银,1
甘肃,定西,1
甘肃,兰州,1
青海,西宁,3
黑龙江,大庆,2
