,Cities,Num
0,上海,52
1,北京,32
2,成都,25
3,武汉,22
4,天津,17
5,南京,19
6,杭州,19
7,金华,8
8,宁波,8
9,绍兴,8
10,温州,8
11,台州,4
12,湖州,3
13,嘉兴,3
14,丽水,3
15,衢州,1
16,苏州,13
17,无锡,9
18,常州,6
19,南通,5
20,盐城,5
21,扬州,5
22,镇江,5
23,淮安,4
24,宿迁,4
25,徐州,4
26,连云港,1
27,泰州,1
28,青岛,12
29,济南,5
30,菏泽,4
31,济宁,4
32,潍坊,4
33,威海,3
34,德州,2
35,临沂,2
36,日照,2
37,淄博,2
38,东营,1
39,泰安,1
40,烟台,1
41,郑州,10
42,南阳,5
43,焦作,2
44,洛阳,2
45,平顶山,2
46,许昌,2
47,周口,2
48,安阳,1
49,鹤壁,1
50,开封,1
51,商丘,1
52,新乡,1
53,信阳,1
54,濮阳,1
55,大连,12
56,沈阳,9
57,抚顺,2
58,鞍山,1
59,朝阳,1
60,丹东,1
61,锦州,1
62,盘锦,1
63,营口,1
64,唐山,6
65,石家庄,4
66,保定,3
67,邯郸,2
68,衡水,2
69,承德,1
70,廊坊,1
71,秦皇岛,1
72,邢台,1
73,张家口,1
74,合肥,9
75,滁州,3
76,安庆,1
77,蚌埠,1
78,阜阳,1
79,淮北,1
80,黄山,1
81,六安,1
82,宿州,1
83,芜湖,1
84,西安,15
85,宝鸡,2
86,安康,1
87,咸阳,1
88,长沙,13
89,株洲,2
90,常德,1
91,娄底,1
92,湘潭,1
93,重庆,18
94,达州,4
95,泸州,4
96,德阳,2
97,资阳,2
98,巴中,1
99,广安,1
100,乐山,1
101,南充,1
102,宜宾,1
103,荆门,3
104,黄冈,2
105,宜昌,2
106,黄石,1
107,荆州,1
108,襄阳,1
109,孝感,1
110,南昌,6
111,上饶,3
112,九江,2
113,呼和浩特,3
114,包头,2
115,赤峰,2
116,巴彦淖尔,1
117,鄂尔多斯,1
118,呼伦贝尔,1
119,通辽,1
120,太原,4
121,长治,2
122,临汾,2
123,大同,1
124,晋城,1
125,晋中,1
126,长春,8
127,四平,1
128,松原,1
129,银川,3
130,石嘴山,1
131,白银,1
132,定西,1
133,兰州,1
134,西宁,3
135,大庆,2
