,Cities,Num
0,上海,88
1,北京,76
2,天津,22
3,成都,25
4,苏州,26
5,重庆,28
6,杭州,26
7,宁波,12
8,金华,7
9,温州,7
10,台州,6
11,绍兴,5
12,嘉兴,4
13,衢州,2
14,湖州,1
15,丽水,1
16,南京,17
17,无锡,9
18,徐州,8
19,南通,7
20,常州,5
21,淮安,5
22,扬州,4
23,连云港,3
24,宿迁,2
25,泰州,2
26,镇江,2
27,盐城,1
28,青岛,13
29,济南,10
30,烟台,8
31,临沂,6
32,菏泽,4
33,济宁,3
34,日照,2
35,泰安,2
36,威海,2
37,潍坊,2
38,枣庄,2
39,淄博,2
40,德州,1
41,东营,1
42,聊城,1
43,郑州,14
44,洛阳,4
45,周口,4
46,濮阳,4
47,平顶山,3
48,新乡,3
49,安阳,2
50,开封,2
51,南阳,2
52,焦作,1
53,商丘,1
54,信阳,1
55,许昌,1
56,漯河,1
57,武汉,22
58,荆州,4
59,襄阳,4
60,黄冈,2
61,宜昌,2
62,十堰,1
63,随州,1
64,咸宁,1
65,福州,9
66,厦门,9
67,泉州,5
68,漳州,3
69,龙岩,2
70,宁德,2
71,莆田,1
72,三明,1
73,廊坊,7
74,石家庄,5
75,邯郸,4
76,唐山,4
77,保定,3
78,秦皇岛,3
79,邢台,2
80,张家口,2
81,承德,1
82,衡水,1
83,长沙,19
84,岳阳,4
85,衡阳,2
86,益阳,2
87,常德,1
88,郴州,1
89,湘潭,1
90,株洲,1
91,西安,20
92,宝鸡,3
93,咸阳,2
94,榆林,2
95,汉中,1
96,延安,1
97,合肥,8
98,滁州,2
99,阜阳,2
100,芜湖,2
101,安庆,1
102,蚌埠,1
103,淮北,1
104,黄山,1
105,马鞍山,1
106,宿州,1
107,宣城,1
108,南昌,10
109,抚州,3
110,赣州,2
111,吉安,2
112,九江,2
113,上饶,2
114,太原,8
115,晋中,2
116,运城,2
117,长治,1
118,大同,1
119,晋城,1
120,临汾,1
121,南充,6
122,内江,2
123,宜宾,2
124,德阳,1
125,绵阳,1
126,资阳,1
127,贵阳,7
128,遵义,2
129,安顺,1
130,黔东南苗族侗族自治,1
131,铜仁,1
132,大连,8
133,鞍山,2
134,营口,1
135,呼和浩特,3
136,包头,2
137,鄂尔多斯,2
138,乌兰察布,1
139,河源,2
140,梅州,2
141,清远,1
142,韶关,1
143,柳州,3
144,桂林,1
145,银川,2
146,文山,1
