,Cities,Num
0,北京,27
1,上海,29
2,广州,12
3,深圳,14
4,成都,13
5,杭州,13
6,南京,8
7,苏州,5
8,无锡,5
9,淮安,3
10,南通,3
11,常州,2
12,镇江,2
13,泰州,1
14,徐州,1
15,扬州,1
16,青岛,6
17,济南,5
18,聊城,2
19,烟台,2
20,滨州,1
21,威海,1
22,潍坊,1
23,淄博,1
24,宁波,10
25,金华,2
26,台州,2
27,温州,2
28,绍兴,1
29,大连,6
30,沈阳,6
31,鞍山,1
32,本溪,1
33,抚顺,1
34,泉州,4
35,福州,3
36,厦门,3
37,莆田,1
38,西安,11
39,哈尔滨,8
40,佳木斯,1
41,绥化,1
42,东莞,3
43,中山,2
44,佛山,1
45,惠州,1
46,揭阳,1
47,汕头,1
48,石家庄,5
49,保定,2
50,廊坊,2
51,天津,9
52,昆明,4
53,丽江,2
54,文山壮族苗族自治,1
55,西双版纳傣族自治,1
56,昭通,1
57,合肥,4
58,蚌埠,1
59,阜阳,1
60,淮南,1
61,亳州,1
62,郑州,6
63,安阳,1
64,新乡,1
65,武汉,4
66,黄冈,2
67,荆州,1
68,孝感,1
69,重庆,8
70,南宁,5
71,桂林,1
72,海口,3
73,三亚,2
74,万宁,1
75,兰州,2
76,天水,2
77,张掖,1
78,长沙,5
79,九江,2
80,抚州,1
81,赣州,1
82,南昌,1
83,包头,2
84,鄂尔多斯,1
85,呼和浩特,1
86,兴安,1
87,长春,2
88,通化,1
89,延边朝鲜族自治,1
90,贵阳,2
91,遵义,1
92,太原,3
93,乌鲁木齐,2
94,巴音郭楞蒙古自治,1
95,澳门特别行政,1
96,银川,1
97,绵阳,1
98,拉萨,1
