province,city,num
北京,北京,27
上海,上海,29
广州,广州,12
深圳,深圳,14
成都,成都,13
杭州,杭州,13
江苏,南京,8
江苏,苏州,5
江苏,无锡,5
江苏,淮安,3
江苏,南通,3
江苏,常州,2
江苏,镇江,2
江苏,泰州,1
江苏,徐州,1
江苏,扬州,1
山东,青岛,6
山东,济南,5
山东,聊城,2
山东,烟台,2
山东,滨州,1
山东,威海,1
山东,潍坊,1
山东,淄博,1
浙江,宁波,10
浙江,金华,2
浙江,台州,2
浙江,温州,2
浙江,绍兴,1
辽宁,大连,6
辽宁,沈阳,6
辽宁,鞍山,1
辽宁,本溪,1
辽宁,抚顺,1
福建,泉州,4
福建,福州,3
福建,厦门,3
福建,莆田,1
陕西,西安,11
黑龙江,哈尔滨,8
黑龙江,佳木斯,1
黑龙江,绥化,1
广东,东莞,3
广东,中山,2
广东,佛山,1
广东,惠州,1
广东,揭阳,1
广东,汕头,1
河北,石家庄,5
河北,保定,2
河北,廊坊,2
天津,天津,9
云南,昆明,4
云南,丽江,2
云南,文山壮族苗族自治,1
云南,西双版纳傣族自治,1
云南,昭通,1
安徽,合肥,4
安徽,蚌埠,1
安徽,阜阳,1
安徽,淮南,1
安徽,亳州,1
河南,郑州,6
河南,安阳,1
河南,新乡,1
湖北,武汉,4
湖北,黄冈,2
湖北,荆州,1
湖北,孝感,1
重庆,重庆,8
广西壮族自治,南宁,5
广西壮族自治,桂林,1
海南,海口,3
海南,三亚,2
海南,万宁,1
甘肃,兰州,2
甘肃,天水,2
甘肃,张掖,1
湖南,长沙,5
江西,九江,2
江西,抚州,1
江西,赣州,1
江西,南昌,1
内蒙古自治,包头,2
内蒙古自治,鄂尔多斯,1
内蒙古自治,呼和浩特,1
内蒙古自治,兴安,1
吉林,长春,2
吉林,通化,1
吉林,延边朝鲜族自治,1
贵州,贵阳,2
贵州,遵义,1
山西,太原,3
新疆维吾尔自治,乌鲁木齐,2
新疆维吾尔自治,巴音郭楞蒙古自治,1
澳门特别行政,澳门特别行政,1
宁夏回族自治,银川,1
四川,绵阳,1
西藏自治,拉萨,1
