卖家Id,卖家入驻闲鱼时长,卖家卖出商品数量,卖家职业,卖家访问闲鱼频率,卖家芝麻评级,卖家芝麻信用,卖家发货地址,商品标题,商品状态,商品划线价格,商品售价,商品数量,商品邮费,商品浏览数,商品想要人数,商品点赞数,商品同款信息,商品描述
918807138,来闲鱼1853天了,卖出过34件宝贝,集颜值与才华于一身,2天前来过,A,信用极好,上海,品牌型号 ：fred perry Polo衫,已售出,0,130,0,0,349,5,0,无同款商品信息,"品牌型号 ：fred perry Polo衫
尺码 S，17年在IT买的，没穿过几回，9成新吧，我自己身高178cm，适合175-180左右的朋友。不超过70kg合适。
绝对正品，清理家里衣柜，好的衣服卖一卖…
衣长在68cm左右"
93482832,来闲鱼2013天了,卖出过1116件宝贝,IT/互联网/通信行业创始人,连续4天来过,A,信用极好,广州,hm短袖衬衫，fp短袖polo！,已售出,666,18,0,0,380,8,0,无同款商品信息,"hm短袖衬衫，fp短袖polo！
,短袖衬衫，全新
,polo，下水一次，穿过一回
具体尺码看最后两张图片。。"
919048104,来闲鱼1823天了,卖出过208件宝贝,喜欢摄影、宠物、时尚、运动、居家、数码,3分钟前来过,A,信用极好,宁德,NFL橄榄球衣 Patriots 爱国者12橄榄球衣短袖,已售出,258,88,0,0,280,11,4,无同款商品信息,"NFL橄榄球衣 Patriots 爱国者12橄榄球衣短袖
吊牌在，衣服很新就穿过一两回
BRADY汤姆布莱迪 二代传奇刺绣球衣
细节都拍出了 XL码99新
工艺很好，非几十块钱的普通货
胸围106 衣长70
二手衣物售出不退换，谢谢配合"
463013643,来闲鱼1651天了,卖出过57件宝贝,已读不回没礼貌的不要来，单件不包邮，售出不退不换，及时确认收货,7分钟前来过,A,信用极好,佛山,短款一字肩泡泡袖上衣 hm入,已售出,0,20,0,0,408,21,0,无同款商品信息,"短款一字肩泡泡袖上衣 hm入
码数：m   一字肩 图二本人上身图  身高：163
就穿过一次 九成新 已读不回不礼貌的不要来
感兴趣的话点“我想要”和我私聊吧～"
1101902451,来闲鱼1092天了,卖出过254件宝贝,就爱给孩子买买买…绝对正品！孩子的健康大于一切！,58分钟前来过,A,信用极好,大连,婴儿连体衣男童春秋装外出服宝宝衣服绅士百天周岁礼服哈衣满月服,在售,0,48,1,0,125,0,0,无同款商品信息,"婴儿连体衣男童春秋装外出服宝宝衣服绅士百天周岁礼服哈衣满月服

只穿过周岁生日宴一次。
包邮，不议价，议价不回。
第一件和第四件也有，全新。
【送】凯叔声律启蒙音频全集

【提示】二手货品，售出不退。"
926778365,来闲鱼1646天了,卖出过176件宝贝,事儿妈远离！不交换！不退！不换！诚信交易！不退换货！所有商品售出不以任何理由退货 拍单时问清楚再拍 以免引起双方不必要的麻烦！,53分钟前来过,A,信用极好,嘉兴,LIHONN 丽红家 闲置T 几乎全新 都是出去旅游或者拍照,已售出,0,80,0,8,492,10,0,无同款商品信息,LIHONN 丽红家 闲置T 几乎全新 都是出去旅游或者拍照 穿过一两回 诚信交易不退换货
3470823812,来闲鱼904天了,卖出过27件宝贝,Abertay Universityv毕业,8天前来过,B,信用优秀,北京,(裙子在宿舍 不能回学校 寄不了快递）梗豆物语】适合春夏清新,在售,138,138,1,0,119,0,0,无同款商品信息,"(裙子在宿舍 不能回学校 寄不了快递）梗豆物语】适合春夏清新可爱原创JK制服百褶裙裙…
颜色分类A款短裙一团[90天发],尺码XS
穿过一次 有同格领结"
1850970227,来闲鱼446天了,卖出过58件宝贝,卖自己家中闲置品,2天前来过,A,信用极好,延边朝鲜族,U.S. POLO ASSN.男士polo衫刺绣纯棉潮流时尚,在售,320,79,1,0,114,4,1,无同款商品信息,U.S. POLO ASSN.男士polo衫刺绣纯棉潮流时尚短袖t恤。托朋友从美国直邮过来的，紫色 L码，相当于国内XL码。因颜色特殊老公只穿过一回就一直闲置，几乎全新，无瑕疵。实物颜色参考最后一张图。衣长77.5  胸围110
2183097139,来闲鱼810天了,卖出过11件宝贝,,1天前来过,A,信用极好,哈尔滨,因为原来胖，现在衣服都穿不了了，这个就穿过一两回，160斤左,在售,0,29.9,1,0,43,2,0,无同款商品信息,"因为原来胖，现在衣服都穿不了了，这个就穿过一两回，160斤左右穿
感兴趣的话点“我想要”和我私聊吧～不包邮"
1096395052,来闲鱼997天了,卖出过5件宝贝,,6小时前来过,A,信用极好,上海,北冥有渔印花雪纺蕾丝连衣裙女夏2019新款ins…,已售出,207.74,39,0,0,250,6,0,无同款商品信息,"北冥有渔印花雪纺蕾丝连衣裙女夏2019新款ins…
颜色分类:白色,尺码:S

试穿清洗后没再找到机会穿过。
材质有点扎人，有一侧袖口线缝的不紧，蕾丝脱线了，需要缝一缝。
工作比较忙，佛系卖，信息可能回的不及时，有需要直接拍，已最低价，包邮。"
