卖家Id,卖家入驻闲鱼时长,卖家卖出商品数量,卖家职业,卖家访问闲鱼频率,卖家芝麻评级,卖家芝麻信用,卖家发货地址,商品标题,商品状态,商品划线价格,商品售价,商品数量,商品邮费,商品浏览数,商品想要人数,商品点赞数,商品同款信息,商品描述
313978725,来闲鱼1534天了,卖出过23件宝贝,保证个人闲置，诚信出售,7分钟前来过,A,信用极好,北京,skechers2020夏季新款t恤 运动户外项目：运动休闲,在售,0,49,1,7,28,0,0,无同款商品信息,"skechers2020夏季新款t恤 运动户外项目：运动休闲 服装版型：常规 材质：棉 服装款式细节：品牌LOGO 功能：透气
旗舰店购入全新带吊牌一共三件分别100码110码120码
不包邮不讲价
二手物品不退不换"
2858582176,来闲鱼1101天了,卖出过289件宝贝,,2分钟前来过,B,信用优秀,保定,H&M速干裤，运动健身裤，瑜伽裤,在售,199,25,1,0,42,1,0,无同款商品信息,"H&M速干裤，运动健身裤，瑜伽裤
专柜购入，尺码170 
裤长70cm，腰围35cm
弹力很大，穿着非常舒服
9成新，多条包邮"
1081723195,来闲鱼933天了,卖出过17件宝贝,,2小时前来过,A,信用极好,大连,品牌型号：冬季 纯橙色 厚运动裤 尺码：3尺左右均可穿着 基,在售,0,25,1,0,51,1,0,无同款商品信息,品牌型号：冬季 纯橙色 厚运动裤 尺码：3尺左右均可穿着 基础风格：运动 九成新 偏远地区邮费另计 二手衣物售后不退不换
666786030,来闲鱼1209天了,卖出过80件宝贝,贸易行业销售,连续2天来过,A,信用极好,大连,李宁女连帽上衣运动服9新M码,在售,240,49,1,0,34,1,0,无同款商品信息,"李宁女连帽上衣运动服9新M码 
商场专柜180购买，灰粉搭配很好看，拉链设计，两侧口袋，衣长56袖长66胸围90！运动裤非李宁，抽绳松紧腰，裤长101臀围91腰围70！单买裤子49！上衣75！一套108！二手商品不退不换"
2.20753E+12,来闲鱼108天了,卖出过50件宝贝,自由职业行业创始人,连续3天来过,B,信用优秀,广州,中国李宁夏季短裤五分运动裤 260克 纯棉毛圈布面料舒适透气,在售,0,78,1,0,39,1,0,无同款商品信息,"中国李宁夏季短裤五分运动裤 260克 纯棉毛圈布面料舒适透气 排汗 款式经典百搭 中国李宁印花醒目特色  科技面料专注舒适感 放心入手男女穿 网红放心带货
SIZE   ： M L XL  XXL
颜色    :黑色"
3323786748,来闲鱼426天了,卖出过36件宝贝,喜欢时尚、绘画、音乐、娱乐、舞蹈,38分钟前来过,B,信用优秀,泉州,KAPPA卡帕背靠背新款串标运动休闲裤子男女宽松直筒长裤情侣,在售,369,57.3,1,0,1215,55,1,无同款商品信息,"KAPPA卡帕背靠背新款串标运动休闲裤子男女宽松直筒长裤情侣 卫裤

M  l  XL   男女皆可穿  春夏都可穿
裤脚直筒   弹力适中

三标齐全 低价处理
去年囤货堆积尾货 全新出售
当天拍下当天发货"
1069129461,来闲鱼908天了,卖出过45件宝贝,自由职业行业人力资源,连续3天来过,A,信用极好,大连,纯棉直筒女运动裤,在售,99,29,1,0,39,0,0,无同款商品信息,"纯棉直筒女运动裤
纯棉运动裤，实体店购买，适合体重125斤以内美女穿，二手商品不退不换。偏远地区不包邮"
33618543,来闲鱼866天了,卖出过15件宝贝,国家机关单位行业行政,2小时前来过,A,信用极好,绵阳,"FILA斐乐专柜正品，货号:F11M928133FWT,尺码",在售,0,80,1,0,64,0,0,无同款商品信息,"FILA斐乐专柜正品，货号:F11M928133FWT,尺码:XL180正品丝柔棉8.5成新，很少穿无污渍油点瑕疵！今年减肥所以有点大了，转给需要的人，80包邮不议价！保证专柜正品二手物品不退不换！"
3434987532,来闲鱼521天了,卖出过43件宝贝,喜欢娱乐、数码,2小时前来过,D,信用中等,六安,GUC新款3M反光织带运动收脚裤,在售,0,150,1,0,25,0,0,无同款商品信息,"GUC新款3M反光织带运动收脚裤
s码 穿过几次洗过两次 便宜出了 上身好看
裤长101 腰围37 坐围56
175 140左右略宽松供参考
二手服装签收非质量问题不支持无理由退换 到手不刀"
21992591,来闲鱼1920天了,卖出过9件宝贝,,连续2天来过,A,信用极好,上海,3件网球童装打包出，尺码M，适合140～150的小朋友。,在售,0,160,1,0,47,2,0,无同款商品信息,"3件网球童装打包出，尺码M，适合140～150的小朋友。
二手，NIKE短袖8新。
ADIDAS短袖穿过1，2次。
ADIDAS短裤仅试穿。"
72286704,来闲鱼1789天了,卖出过228件宝贝,,连续2天来过,A,信用极好,西安,Under Armour运动连帽卫衣   粉色 薄绒,在售,0,55,1,0,6,0,0,无同款商品信息,"Under Armour运动连帽卫衣   粉色 薄绒
绝对正品，五环500多购入，8新
标签因为太扎人剪掉了，介意勿扰
不搞价，可包邮，议价者不回复！
二手物品不退换！"
106727138,来闲鱼1441天了,卖出过130件宝贝,,连续2天来过,A,信用极好,温州,Adidas neo阿迪达斯新款透气运动短袖  材质：棉 功,在售,0,50,1,0,37,1,0,无同款商品信息,Adidas neo阿迪达斯新款透气运动短袖  材质：棉 功能：透气 品牌：Adidas/阿迪达斯 服装版型：常规 尺码 175/92A，衣服9.5成新，无污渍无破损，实拍图，实物会没有图片艳丽，仅供参考。因二手商品售出不退，介意慎拍！
98344461,来闲鱼1567天了,卖出过39件宝贝,,连续3天来过,A,信用极好,西安,阿迪达斯 Adidas 三叶草 正品  连衣裙,在售,599,80,1,8,22,1,0,无同款商品信息,"阿迪达斯 Adidas 三叶草 正品  连衣裙 
二手闲置 便宜出
全部实拍  一物一图
售出不退不换 想好再拍 
小店处理单件不包邮
两件及以上包邮 谢谢理解"
3578532632,来闲鱼24天了,卖出过20件宝贝,"来闲鱼24天了,卖出过20件宝贝",刚刚来过,C,信用良好,阜新,耐克女款拉链连帽卫衣  衣长  尺寸L/165/88A 八成,在售,0,48,1,0,41,1,0,无同款商品信息,耐克女款拉链连帽卫衣  衣长  尺寸L/165/88A 八成新轻微油渍 拍前请看好图片尺寸  售出不退不换  不议价  所有衣物都是二手品牌回收店的正品衣物   内标齐全   价格很低只求喜欢的朋友能多多关注我  多多光临与支持#二手旧衣物
1685052003,来闲鱼1468天了,卖出过41件宝贝,,连续3天来过,A,信用极好,临汾,正品耐克羽绒服，l码，九五新，商场专柜1599入手，保证正品,在售,0,650,1,0,16,0,0,无同款商品信息,正品耐克羽绒服，l码，九五新，商场专柜1599入手，保证正品，低价出，有意联系，二手物品不退换
2149985665,来闲鱼1575天了,卖出过603件宝贝,自由职业行业拖拉机手,连续3天来过,B,信用优秀,杭州,二手正品S码迪卡侬连帽户外运动装,在售,0,62,1,0,18,2,0,无同款商品信息,"二手正品S码迪卡侬连帽户外运动装

9成新，无破损，原装扣链，单层薄款，可当防晒服穿，防雨，170/88A 衣长73，肩宽45，胸围108，䄂长67，不正包退。

二手闲置衣鞋售出（除真假问题）不退不换、任何问题拍前请咨询清楚，拍下即默认。
  吹毛求疵者请绕道，二手物品没有绝对完美，具体成色如图，都是实拍。
偏远地区需补部分运费，具体私聊。"
