卖家Id,卖家入驻闲鱼时长,卖家卖出商品数量,卖家职业,卖家访问闲鱼频率,卖家芝麻评级,卖家芝麻信用,卖家发货地址,商品标题,商品状态,商品划线价格,商品售价,商品数量,商品邮费,商品浏览数,商品想要人数,商品点赞数,商品同款信息,商品描述
54094012,来闲鱼1657天了,卖出过983件宝贝,自由职业行业销售,连续3天来过,A,信用极好,无锡,三枪儿童裤子男童纯棉中裤 外穿的裤子三色,在售,0,18,1,0,157,6,0,无同款商品信息,"三枪儿童裤子男童纯棉中裤 外穿的裤子三色

红色130，160
卡其160
蓝色160
全店两个宝贝包邮

风格：休闲 适用季节：夏季 适用性别：男 面料：纯棉 风格：休闲 裤门襟：皮筋腰带 裤长：五分裤 品牌：THREEGUN/三枪 裤子分类：普通休闲裤三枪儿童裤子男童纯棉中裤 风格：休闲 适用季节：夏季 适用性别：男 面料：纯棉 风格：休闲 裤门襟：皮筋腰带 裤长：五分裤 品牌：THREEGUN/三枪 裤子分类：普通休闲裤三枪儿童裤子男童纯棉中裤 风格：休闲 适用季节：夏季 适用性别：男 面料：纯棉 风格：休闲 裤门襟：皮筋腰带 裤长：五分裤 品牌：THREEGUN/三枪 裤子分类：普通休闲裤
本交易仅支持邮寄"
680375105,来闲鱼594天了,卖出过157件宝贝,自由职业行业客服,连续3天来过,A,信用极好,天津,二手非全新9成新品牌童装儿童连衣裙套装短袖短裤女童夏装,在售,0,20,1,0,19,0,0,无同款商品信息,"二手非全新9成新品牌童装儿童连衣裙套装短袖短裤女童夏装

孩子衣服非常多
基本都是只穿过一次两次的
非常新 没有污渍 品牌童装
小猪班纳 hellokitty 迪士尼 moomoo 铅笔
具体详情见图

由于系统图片限制
看上哪件可单独发高清图

满100包邮 满100包邮 满100包邮

此链接持续更新 主要是夏装
包括不限于连衣裙 短袖  裤子 套装 
亲们可关注"
67364884,来闲鱼1802天了,卖出过153件宝贝,,连续2天来过,A,信用极好,成都,黑超奶嘴 糖果tee有点厚，L码130-140，感觉160的,在售,0,320,1,0,7,0,0,无同款商品信息,黑超奶嘴 糖果tee有点厚，L码130-140，感觉160的大人都能穿，偏大，本来想配亲子的，衣柜确实需要清理了，出了，喜欢的朋友来，二手商品售出不退不换！
824991676,来闲鱼854天了,卖出过296件宝贝,自由职业行业市场,连续5天来过,A,信用极好,重庆,正品小骆驼女童短袖T恤，全新，140码,在售,0,40,1,0,7,0,0,无同款商品信息,"正品小骆驼女童短袖T恤，全新，140码
全新有吊牌，正品保证，肩宽31，胸围72，衣长49，看好拍，二手商品不退换"
704338793,来闲鱼1328天了,卖出过82件宝贝,文化/艺术行业客服,连续2天来过,C,信用良好,滨州,女宝娃娃领纱裙连衣裙 款式：短袖 适用季节：夏季 品牌：mi,在售,0,20,1,0,145,9,0,无同款商品信息,"女宝娃娃领纱裙连衣裙 款式：短袖 适用季节：夏季 品牌：mikiumkee
mikihouse 正品 定制款 马克珍妮 去年的衣服都小了，都是80码，打包白菜价出！二手物品难免会有瑕疵，事妈请绕道！"
50889537,来闲鱼1887天了,卖出过89件宝贝,砍价离谱者可能会石沉大海的，二手闲置不退换看好再拍，带娃可能回复慢，架上能拍就有货，请互相尊重理解～谢谢,6小时前来过,A,信用极好,北京,Ryson暴力熊 橄榄球包屁衣 80码 5新 正常穿着痕迹,在售,0,25,1,12,3,0,0,无同款商品信息,"Ryson暴力熊 橄榄球包屁衣 80码 5新 正常穿着痕迹 没有明显污渍。25/一件 两件包邮。
二手闲置不退不换，感谢理解。"
1863054592,来闲鱼164天了,卖出过169件宝贝,工业/制造业行业工程师,53分钟前来过,B,信用优秀,德州,2020新款夏季儿童防蚊裤薄款女童宽松裤中大童男童运动裤宝宝,在售,0,15,1,0,55,1,1,无同款商品信息,"2020新款夏季儿童防蚊裤薄款女童宽松裤中大童男童运动裤宝宝长裤棉
轻薄舒适休闲百搭透气性面料手感柔和
七色可选尺码:110-160"
14010897,来闲鱼1255天了,卖出过7件宝贝,,连续2天来过,A,信用极好,上海,笛莎女童夏季连衣裙蕾丝花边,在售,189,60,1,7,18,0,0,无同款商品信息,"笛莎女童夏季连衣裙蕾丝花边
颜色：本白
参考身高：140  穿洗过2次
有主唛，无吊牌。
二手商品，诚信交易，不退不换。"
2945574590,来闲鱼1251天了,卖出过15件宝贝,贸易行业销售,连续5天来过,B,信用优秀,深圳,PLACE 品牌童装，舒适百分百纯棉男童上T，M码适合7/8,在售,0,38,1,8,7,0,0,无同款商品信息,PLACE 品牌童装，舒适百分百纯棉男童上T，M码适合7/8岁左右，XS码适合4岁左右，各一件，罚没代购的货，全新未穿过，吊牌价10.5美金，随便出个二手价38元/件，两件打包60。有多划算可对比的哦，不议价不包邮。
669027741,来闲鱼1656天了,卖出过228件宝贝,自由职业行业创始人,连续5天来过,A,信用极好,周口,阿迪儿童串标运动裤，购物专柜，116码，裤长66厘米，大概9,在售,299,89,1,8,9,0,0,无同款商品信息,阿迪儿童串标运动裤，购物专柜，116码，裤长66厘米，大概9新。二手商品售出概不退换！
16844828,来闲鱼851天了,卖出过294件宝贝,全职妈妈,连续2天来过,A,信用极好,北京,日本代购 黑超奶嘴短袖裙T,在售,570,280,1,12,25,0,0,无同款商品信息,"日本代购 黑超奶嘴短袖裙T
110码，大一个码。只穿过2，3次，无污渍无破损完好。A字裙底，超美。二手商品售出后不退不换！"
