卖家Id,卖家入驻闲鱼时长,卖家卖出商品数量,卖家职业,卖家访问闲鱼频率,卖家芝麻评级,卖家芝麻信用,卖家发货地址,商品标题,商品状态,商品划线价格,商品售价,商品数量,商品邮费,商品浏览数,商品想要人数,商品点赞数,商品同款信息,商品描述
2.21E+12,来闲鱼22天了,卖出过23件宝贝,文化/艺术行业创始人,连续2天来过,B,信用优秀,杭州,【纯棉现发】夏季短袖男t恤纯棉宽松上衣服男装潮流韩版学生青少,在售,0,27.6,1999,0,12,2,2,无同款商品信息,"【纯棉现发】夏季短袖男t恤纯棉宽松上衣服男装潮流韩版学生青少年半袖打底衫


这款印花短袖非常个性
生动有趣
适合这个青春的夏天
休闲搭配 纯棉面料
上身舒服极了

不掉色 不起球 不缩水

这种纯色印花 休闲装
每个男生的衣柜都要多备几件才好

颜色: 下方挑图
尺码：图九

标准版型
S(75-90斤)
M(105-125斤)
L(125-140斤)
XL（140-155）
2XL（155-170)
3XL（170-185）
4XL（185－200）



当天发货
本产品仅支持邮寄"
2028052381,来闲鱼76天了,卖出过57件宝贝,自由职业行业销售,连续3天来过,A,信用极好,桂林,男士短袖t恤运动套装潮牌潮流衣服夏季 宽松打底衫半袖潮ins,在售,59,18.8,1,0,61,1,0,无同款商品信息,"男士短袖t恤运动套装潮牌潮流衣服夏季 宽松打底衫半袖潮ins

【舒适-弹力-耐穿】 【100%聚酯纤维】 
【不起球】 【速干吸汗】
【M/160-165身高80-100斤】
【L/165-170身高100-120斤】 
【XL/170-175身高120-140斤】
【2XL/175-180身高140-155斤】
【3XL/165-175身高155-170斤】 
【4XL/180-185身高170-185斤】 
以上尺码是常规尺码推荐,喜欢宽松的建议拍大一码

下单留言备注尺码和颜色！
本交易仅支持邮寄"
1937806858,来闲鱼994天了,卖出过80件宝贝,IT/互联网/通信行业创始人,连续4天来过,A,信用极好,淄博,全新夏款男装短袖T恤衫翻领条纹中老年纯棉半袖上衣,在售,0,9.9,1,0,1215,74,5,无同款商品信息,"全新夏款男装短袖T恤衫翻领条纹中老年纯棉半袖上衣 
之前做淘宝店铺，因改行有部分压货清仓处理尺码（165S）（170M）（175L）（180XL）（185XXL）颜色图一暗紫；图二乌灰色；图三湖水兰，尺码数量有限，全新带吊牌包装袋买到就是赚到2件包邮！"
2266484946,来闲鱼229天了,卖出过989件宝贝,IT/互联网/通信行业销售,连续3天来过,C,信用良好,广州,富贵鸟丝光棉短袖韩版修身t恤男POLO衫纯棉潮流上衣翻领夏季,在售,168,45,1,0,685,31,5,无同款商品信息,"富贵鸟丝光棉短袖韩版修身t恤男POLO衫纯棉潮流上衣翻领夏季男装纯棉上衣

春夏纯棉T恤男  冲量低价促销  数量有限  
材质:95%棉+5%氨纶    品质保证
不起球  不退色  不变形
颜色:
       黑色   白色  绿色  黄色   红色   蓝色
       深蓝色   粉红色    浅绿色   浅灰色
尺码建议:
M码     90~105斤
L码      105~120斤
XL码    120~135斤
2XL码    135~155斤
3XL码    155~170斤
4XL码    170~190斤
亲，拍下备注颜色，尺码，也可备注身高体重，以便尺码精确！
全国包邮   偏远地区咨询客服！"
2.21E+12,来闲鱼39天了,卖出过139件宝贝,贸易行业销售,1天前来过,A,信用极好,杭州,T恤 夏季短袖T恤 潮牌 ins 学生 宽松,在售,0,17.6,1,0,2404,167,18,无同款商品信息,"T恤 夏季短袖T恤 潮牌 ins 学生 宽松 
面料：涤纶（聚酯纤维）
成分：81%—90%
领型：圆领
服装细节：印花
风格：韩版
尺码：S—2XL
厂家低价代销 亏本冲量 随时可能涨价 全新包邮（不包括偏远地区）小哥哥小姐姐们赶紧来入手吧！一件装17.6元  买一送一25.6元
仅支持邮寄 快递可能要等几天 请大家不要着急"
2680307492,来闲鱼126天了,卖出过117件宝贝,自由职业行业人力资源,连续3天来过,A,信用极好,南昌,2020夏季男士短袖t恤,在售,0,12.9,1,0,505,36,7,无同款商品信息,"2020夏季男士短袖t恤  


新店开张，亏本包邮赚人气

【数量有限，速度下单！】

不要问有没有，能看到就有，直接拍下就可以！拍不了请直接联系我哦！

多种图案款式，纯棉布料不起球，不褪色，不缩水，亲肤舒适，透气吸汗。简约百搭。

颜色:白，黑，灰

【以下是推荐尺码范围】
【M码：身高163-170体重90-115】                
【L码：身高168-175体重110-125】                  【XL码：身高172-178体重125-145】                 【XXL码：身高175-182体重145-165】                                              【XXXL码：身高178-185体重165-190】                    【4XL码：身高182-195体重190-210]

价格:    12.9元/件

大家都忙，时间宝贵，所以不支持上门领取。
收到包裹签收前一定要检查包装，没损坏再签收。

点赞并且收藏一下，防止以后找不到我家哦。
我们有大量新品，每天持续上架，欢迎随时挑选，或者有什么需求可以直接告诉我，说不定仓库就有哦！

偏远地区（新疆、青海、宁夏、西藏、内蒙等偏远地区暂不发货）"
2267533147,来闲鱼27天了,卖出过39件宝贝,华南师范大学毕业,连续5天来过,B,信用优秀,广州,阮琦·魔鬼约会学推荐T恤男夏季纯色男士口袋短袖潮流打底衫,在售,50,10,1,0,47,6,0,无同款商品信息,"阮琦·魔鬼约会学推荐T恤男夏季纯色男士口袋短袖潮流打底衫 
衣服全新不想卖，点击宝贝下方我想要，我给您发送内容目录包含1.0-5.0，包后续更新"
465361880,来闲鱼312天了,卖出过735件宝贝,教育/科研行业销售,连续4天来过,A,信用极好,厦门,花花公子贵宾短袖polo衫夏季新款精硫棉T恤男士翻领纯色百搭,在售,90,25,1,0,611,40,2,无同款商品信息,"花花公子贵宾短袖polo衫夏季新款精硫棉T恤男士翻领纯色百搭T恤

颜色:黄色   白色   灰色  绿色   黑色   藏青色
尺码:160/80A     165/84A     170/88A    175/92A     180/96A     185/100A    190/104A
具体尺码咨询下客服
拍下后私信客服留言您要的颜色跟尺码"
2.21E+12,来闲鱼218天了,卖出过256件宝贝,健康/医疗行业高管,1分钟前来过,A,信用极好,上海,全新VANS范斯万斯2020新联名史努比印花短袖T恤男女情侣,在售,0,65,1,0,114,10,2,无同款商品信息,"全新VANS范斯万斯2020新联名史努比印花短袖T恤男女情侣 装夏宽松半袖
买的时候很喜欢，买回来不喜欢了，闲置了低价转让，全新正品，喜欢的朋友可以私聊，非诚勿扰
本交易仅支持自提、当面交易、邮寄"
2854249700,来闲鱼1247天了,卖出过68件宝贝,金融行业职业经理人,2小时前来过,C,信用良好,珠海,男士短袖t恤2020新款夏季潮流韩版,已售出,0,0.01,0,12,420,2,0,无同款商品信息,男士短袖t恤2020新款夏季潮流韩版 男士短袖t恤2020新款夏季潮流韩版宽松打底衫衣服体恤大码 全新！全都没穿过的，仓库租期已满，清一批货腾出另一个仓库！免费送！没下架就是有。直接拍就行，当天拍下下午六点前发货！！！
