卖家Id,卖家入驻闲鱼时长,卖家卖出商品数量,卖家职业,卖家访问闲鱼频率,卖家芝麻评级,卖家芝麻信用,卖家发货地址,商品标题,商品状态,商品划线价格,商品售价,商品数量,商品邮费,商品浏览数,商品想要人数,商品点赞数,商品同款信息,商品描述
2.20639E+12,来闲鱼4天了,卖出过62件宝贝,"来闲鱼4天了,卖出过62件宝贝",7分钟前来过,E,信用较差,永州,衣服-17,已售出,0,4999,0,0,16,1,0,无同款商品信息,"衣服-17
感兴趣的话点“我想要”和我私聊吧～"
40759833,来闲鱼2010天了,卖出过235件宝贝,,10小时前来过,A,信用极好,包头,DAZZLE地素2019夏 圆领短袖休闲格纹针织衫女2G2E,在售,1099,260,1,15,35,0,0,无同款商品信息,"DAZZLE地素2019夏 圆领短袖休闲格纹针织衫女2G2E3311L
s码，9新
长胖了，忍痛转
二手衣服不退换，拍前考虑"
380023870,来闲鱼1324天了,卖出过21件宝贝,佛系卖家，不喜议价,3小时前来过,A,信用极好,揭阳,拉夏贝尔 夏季 上衣 女 颜色黑色,在售,0,21,1,0,33,1,0,无同款商品信息,"拉夏贝尔 夏季 上衣 女 颜色黑色
尺码S
衣服新旧如图，穿一洗一
二手衣物，售出不退不换"
38987789,来闲鱼2011天了,卖出过26件宝贝,,9小时前来过,A,信用极好,北京,收拾衣柜，很多不穿的衣服，身高160，体100斤左右的，都能,在售,88,15,1,0,8,0,0,无同款商品信息,"收拾衣柜，很多不穿的衣服，身高160，体100斤左右的，都能穿。
衣服穿着都很舒服。衣服没有熨烫，有些褶皱。
二手衣服，不退不换。
15元一件，买五件送一件，多要更优惠。
还有很多，陆续拍照。"
3323786748,来闲鱼425天了,卖出过36件宝贝,喜欢时尚、绘画、音乐、娱乐、舞蹈,连续5天来过,B,信用优秀,泉州,KAPPA卡帕背靠背新款串标运动休闲裤子男女宽松直筒长裤情侣,在售,369,57.3,1,0,1171,53,0,无同款商品信息,"KAPPA卡帕背靠背新款串标运动休闲裤子男女宽松直筒长裤情侣 卫裤

M  l  XL   男女皆可穿  春夏都可穿
裤脚直筒   弹力适中

三标齐全 低价处理
去年囤货堆积尾货 全新出售
当天拍下当天发货"
1804121933,来闲鱼1514天了,卖出过49件宝贝,,连续3天来过,A,信用极好,长沙,爱依服衬衣，穿过一次，低价转让，，喜欢的私聊，二手衣服不退不,在售,0,45,1,0,16,0,0,无同款商品信息,爱依服衬衣，穿过一次，低价转让，，喜欢的私聊，二手衣服不退不换哦
1956483433,来闲鱼819天了,卖出过293件宝贝,,连续2天来过,B,信用优秀,玉林,生活在左18春纯棉无袖马夹中长款文艺时尚百搭条纹女19810,在售,0,198,1,15,4,0,0,无同款商品信息,生活在左18春纯棉无袖马夹中长款文艺时尚百搭条纹女1981071122 杏色-铁锈红 M，只下过一次水，衣服全新，质量很好。衣服太多了，现处理一些没怎么穿过的衣服。二手市场不退不换
3820783277,来闲鱼837天了,卖出过833件宝贝,零售行业销售,43分钟前来过,A,信用极好,深圳,复古立领印花连衣裙 穿过几次无破损污渍。s码肩宽33腰围70,在售,199,45,1,0,3,0,0,无同款商品信息,"复古立领印花连衣裙 穿过几次无破损污渍。s码肩宽33腰围70裙长79，手工测量有少许误差，光线问题有轻微色差，以实物为准。转45包邮不议价不退换！
衣服放在箱子里有潮味，自己洗介意勿拍！二手闲置便宜买的是实惠不是完美，挑三挑四客户勿扰！"
2440484195,来闲鱼1553天了,卖出过24件宝贝,湖南大众传媒职业技术学院在读,连续3天来过,A,信用极好,长沙,卤卤lulu蝴蝶2020年新款宽松粉色t恤,在售,79,19.6,1,0,938,45,5,无同款商品信息,"卤卤lulu蝴蝶2020年新款宽松粉色t恤
圆领套头百搭，下半身失踪，高矮个子女生都可！
衣服是全新的，不是二手的喔～
19.9出了。三个颜色都有，码子全
颜色有 珊瑚粉、天蓝色、白色 
宽松版型遮肉又显瘦！
想看实拍图可以私我"
2591013242,来闲鱼1077天了,卖出过119件宝贝,不议价不换东西，包邮看心情,连续4天来过,A,信用极好,肇庆,【暖春战疫】UR2019秋冬新品青春女装休闲日常…,在售,119,52,1,0,6,0,0,无同款商品信息,"【暖春战疫】UR2019秋冬新品青春女装休闲日常…
颜色分类:卡其,尺寸:XL
穿过两次，衣服洗过以后有点皱，介意慎入
二手闲置不退不换，不议价不交换
偏远地区补三块钱邮费
拍前烦请沟通是否能发货"
