item_id,适用季节,尺码一,尺码二,适用年龄那段,服装颜色,品牌,服装风格,服装类型,服装材质
918807138,,"L,M,S","175,180",,,,POLO,,
93482832,,"L,M",,,,HM,POLO,"短袖,衬衫",
919048104,,"XL,L,S",,,,,,短袖,
463013643,,M,,,,HM,,"上衣,一字肩",
1101902451,"春,秋",,,男,,,,,
926778365,,L,,,红,,,,
3470823812,"春,夏",S,,,,,,裙,
1850970227,,"XL,L,S",,男,紫,,POLO,短袖,纯棉
2183097139,,,160,,,,,,
1096395052,夏,S,,女,白,,印花,"裙,连衣裙",
1726308704,,,,,,"优衣库,优衣库",,短袖,
720299018,夏,,160,,"黑,绿",,"宽松,圆领,印花,韩版","短袖,裙",
403690504,,"L,S",,,,,"修身,POLO",短袖,
1870365755,,M,,女,,,,裙,牛仔
3064653320,,"L,S","170,180",男,,"阿迪达斯,阿迪",,,
3836644833,"夏,冬",,,,,,,,
1795033294,,S,,,,,,"裙,连衣裙",
3360430353,,,,女,红,,,裙,
2585022626,,,,,黑,,,"裙,连衣裙",
794162190,夏,"L,M,S",180,,"灰,纯色",,,"上衣,裙",
67673228,,M,160,,黑,,,裙,
2002902330,,M,,,,"优衣库,优衣库",,半袖,
353426509,,S,165,女,黑,,宽松,"短袖,裙,连衣裙",纯棉
2123309974,,"L,S",,,"黑,白","优衣库,优衣库,迪士尼",,,
2139821790,夏,"L,M,S",,,,,宽松,"裙,连衣裙",
786590611,,,,,,,圆领,"短袖,裙",
827187491,,S,,,,,,"裙,连衣裙",
917606807,夏,"XL,L",,女,,,修身,"裙,连衣裙,一字肩",
735096671,,S,170,,,,,裙,
696477183,,,,,"黑,白",,"修身,性感","裙,连衣裙",
290654354,,,,,,,,,
2822323446,,"M,S",,,黑,,宽松,"短袖,裙,连衣裙",
786590611,,S,,女,白,,,,
2639832634,,,,,,,V领,"短袖,裙,连衣裙",
428533664,,"L,M,S",180,,,DAZZLE,专柜,"短袖,长袖,上衣,裤,防晒衣",
1867667258,,M,,女,,迪士尼,,短袖,
4248539593,,"M,S",,女,,,,短袖,
1081625232,,,,女,,,,,涤纶
352867879,,L,,,白,,"宽松,复古,专柜","短袖,裤",牛仔
2447254014,,,,,,,,"裙,连衣裙",
2881268790,,"M,S",,,,,,"短袖,裤",
1718520037,,,165,,黄,,,"裙,连衣裙,一字肩",
3130714512,夏,,,,,,圆领,"裙,连衣裙",
796306124,夏,"L,M",,,,,POLO,,
383593179,,"XL,L,M,S",170,"男,女",,,"舒适,情侣",卫衣,
2679897198,,,,女,,,,,
687449372,夏,L,,女,,,宽松,"短袖,上衣,裤",
3250607532,,L,,,,,,"上衣,裤",
32519042,,,,男,红,迪士尼,圆领,半袖,纯棉
3395433925,夏,"L,S",,,"橙,绿",,宽松,,
648280081,,,,,"白,黄",,,"短袖,衬衫",
1678720808,夏,"XL,L",,,,,宽松,"裙,连衣裙",
805132739,,"L,M",,,,,,短袖,
437023771,,M,,,,,,"裙,连衣裙",
3005163560,,"L,S",,,红,,,"裙,连衣裙",
195405163,,,,女,,,,短袖,
811009588,,,,,,,修身,"裙,连衣裙",
2200630000000,,M,,,,,,"裤,一字肩",
3178614768,,S,,,,,,,
102514733,"春,夏",M,,,黑,,专柜,"短袖,裙,外套",
2204190000000,,"L,M,S",,女,白,ZARA,宽松,"裙,连衣裙",
16067683,,M,,,,,,"短袖,外套",
2002902330,夏,,,,白,,透气,,
2560048932,,S,,,,,,,
152225317,,S,,女,红,,V领,"短袖,上衣",
134872842,,,,女,黄,,卡通,短袖,
1581118666,,M,"170,175",,,,专柜,短袖,
1086264825,夏,S,,女,,,,裤,牛仔
2639634192,,S,,,蓝,,印花,短袖,
2371665245,,M,,,,,,"裙,连衣裙",
2249175738,,,,,,,"宽松,印花",短袖,
1092018764,秋,,,女,红,,V领,"裙,连衣裙,一字肩",
135470451,夏,,,,,,韩版,裙,
904149817,,M,,,,,,裙,
1089175510,,,"165,170",,黄,,,上衣,
714637295,,,,,,,,"裙,连衣裙",
24778165,,"L,S",,,黄,,,"裙,连衣裙",
1031928622,夏,L,,,,,复古,"裙,连衣裙",
895253152,,"L,M,S",,,,,"宽松,印花","短袖,上衣",
292505370,夏,"XXL,XL,L,M",160,女,白,,大码,"裙,连衣裙",
2211910139,夏,L,165,女,,,校园,"裙,连衣裙",
723282483,,,175,女,,,,,
3326136430,春,M,,女,"白,蓝",,V领,"中袖,上衣,衬衫",
695418498,,M,,,红,,专柜,,
918807138,,"L,M,S","175,180",,,,POLO,,
93482832,,"L,M",,,,HM,POLO,"短袖,衬衫",
919048104,,"XL,L,S",,,,,,短袖,
1101902451,"春,秋",,,男,,,,,
