item_id,适用季节,尺码一,尺码二,适用年龄那段,服装颜色,品牌,服装风格,服装类型,服装材质
54094012,夏,,160,男,"红,蓝",,,裤,纯棉
680375105,夏,"L,M",,女,,"迪士尼,小猪班纳",,"短袖,裤,裙,连衣裙",
67364884,,L,160,,黑,,,,
824991676,,,,女,,,,短袖,
704338793,夏,"M,S",,女,白,,,"短袖,裙,连衣裙",
50889537,,S,,,,,,,
1863054592,夏,,160,"男,女",,,"宽松,舒适,透气,百搭",裤,
14010897,夏,,,女,白,,,"裙,连衣裙",
2945574590,,"L,M,S",,男,,,舒适,,纯棉
669027741,,,,,,阿迪,专柜,裤,
16844828,,,,,黑,,,"短袖,裙",
3247187089,,,,,,,,裙,
71544390,冬,,,女,,巴拉巴拉,,"长袖,裙",
72016201,"春,夏,秋",M,,"男,女",蓝,,,裤,"聚酯纤维,牛仔"
528313961,,,,女,,,专柜,短袖,
2080578017,秋,M,,女,"红,绿",,复古,"裙,外套,连衣裙",
2207980000000,,M,,"男,女","灰,蓝",,"宽松,卡通",裤,
669027741,,,,,,,,"裙,连衣裙",
2207980000000,,M,,"男,女","黑,白,黄,蓝",巴拉巴拉,,裤,"纯棉,牛仔"
92891259,冬,,,,,,,裤,
2845325384,"春,夏",M,,女,白,,,"裙,连衣裙",
125140776,"春,秋",,,女,,,,"裙,连衣裙",涤纶
10409618,夏,,,"男,女",,"优衣库,优衣库",印花,裤,牛仔
175974769,,,,,,,,裙,
2550854289,,,,,,,,短袖,
1978860265,,,,女,,ABC,,裤,牛仔
2206710000000,,M,,男,,,,裤,
210057941,,S,,女,,,,"短袖,裙,连衣裙",
75039894,夏,,,男,"红,蓝",,,,
355532033,,,,,,,,,
83590720,,S,160,,,,专柜,,
645798240,,,,女,,,,"裙,连衣裙",
17698133,,,,,,"优衣库,优衣库",,,纯棉
2207980000000,夏,,,"男,女","灰,红,绿,蓝",巴拉巴拉,,裤,
3958968953,,,,,,,,"裤,裙",
673158538,,,,,,,,,
136095211,,,160,,黑,巴拉巴拉,,,
4059432169,,,,女,,,,"裤,裙,连衣裙",
3855378913,夏,,,男,"灰,黄",巴拉巴拉,,裤,
1630827561,,,,,,,,,
612627234,,,,"男,女",,,,裤,纯棉
883570530,,"M,S",,女,,,,,
49608185,,M,,,"灰,蓝",,百搭,裤,牛仔
1978860265,,,,女,,ABC,,"裤,七分裤",纯棉
2206710000000,,M,,,,,,裤,
2200760000000,夏,,,"男,女",,,,裤,涤纶
408649173,,,,,,,,裤,
3911749637,夏,,,女,,,,裙,
64332449,"春,秋",,,"男,女","灰,黄,蓝",巴拉巴拉,韩版,裤,牛仔
777056071,"春,夏,秋",,,女,,,"修身,百搭",裤,
49608185,,"M,S",,,蓝,,,裤,"纯棉,牛仔"
64332449,夏,L,,"男,女","红,绿,青,蓝",巴拉巴拉,,裤,
645798240,,,,女,,,,裤,
645798240,,,,女,,,,"裙,连衣裙",纯棉
67695410,,L,,女,,,,打底衫,
13242124,秋,M,,男,,,,长袖,纯棉
2347261931,夏,M,"160,170",男,"黑,绿",,,裤,"纯棉,棉麻"
353015667,,,,,,,,,纯棉
645798240,,L,,女,,,,"裙,连衣裙",
894135720,,"M,S",,,,,,,
391219014,,,,女,,,,"裙,连衣裙",
1675582595,夏,M,,男,,HM,,裤,纯棉
91281722,夏,,,男,,,,,
240788543,,,,女,白,,,"裙,连衣裙",
51616136,,,,,,,,长袖,
1040169305,,,,女,紫,,复古,"裙,连衣裙",
673158538,,,,,,,,,
669027741,,,,,,,,"裙,连衣裙",
144210966,,,,男,,,,短袖,
1757223262,,,,,,,,"裙,连衣裙",
1040169305,,,,女,紫,,复古,"裙,连衣裙",
3855378913,夏,,,男,"灰,黄",巴拉巴拉,,裤,
394669407,,S,,女,蓝,,,"裤,裙,直筒",
43951603,,,,,,,专柜,裤,
236960197,,M,,,白,,,打底衫,
3335939206,,,,,,,,裤,
248589236,,L,,"男,女",,,POLO,短袖,
313978725,夏,"L,S",,,,,透气,,
278875952,夏,,,,,,"百搭,韩版",裤,"纯棉,棉麻"
704338793,夏,"M,S",,女,白,,,"短袖,裙,连衣裙",
112283640,,,,,,,专柜,"裙,连衣裙",
549130575,,M,,,,小猪班纳,,裤,
95164804,,,,,,,,裤,
3415818610,,M,,,,,宽松,裤,
1757223262,,,,,,,,"裙,连衣裙",
45702618,,"L,M",,"男,女",,,POLO,短袖,
