item_id,适用季节,尺码一,尺码二,适用年龄那段,服装颜色,品牌,服装风格,服装类型,服装材质
313978725,夏,"L,S",,,,,透气,,
2858582176,,M,170,,,,专柜,裤,
1081723195,冬,,,,橙,,,裤,
666786030,,M,180,女,灰,李宁,专柜,"上衣,裤",
2207530000000,夏,"XXL,XL,L,M,S",,"男,女","黑,红",李宁,"舒适,透气,百搭,印花",裤,纯棉
3323786748,"春,夏","XL,L,M",,"男,女",,,"宽松,情侣","裤,直筒",
1069129461,,,,女,,,,"裤,直筒",纯棉
33618543,,"XL,L,M",180,,,FILA,专柜,,
3434987532,,"M,S",175,,,,宽松,裤,
21992591,,"M,S",,,,NIKE,,"短袖,裤",
72286704,,M,,,,,,卫衣,
106727138,,S,175,,,"阿迪达斯,阿迪",透气,短袖,
98344461,,S,,,,"阿迪达斯,阿迪",,"裙,连衣裙",
3578532632,,L,165,女,,耐克,,卫衣,
1685052003,,L,,,,耐克,专柜,,
2149985665,,S,170,,,,,,
3578532632,,M,,女,,"阿迪达斯,阿迪",,卫衣,
664745611,,"XL,L",180,男,,,,"裤,卫衣,外套",
4024130194,,"L,S",,"男,女","黄,青,紫",,,"外套,夹克",
1081723195,冬,,,,,,,裤,
409259004,,,170,女,,"阿迪达斯,阿迪",,,
2548681406,,"L,M",,,,"耐克,NIKE",透气,短袖,
1053639104,,,,,,阿迪,,,
748660183,,S,,女,黑,NIKE,,裤,
2470680252,夏,,,,,,,"外套,防晒衣",
357731575,,,,,,李宁,,卫衣,
2266674873,,S,,,,,,长袖,
10007518,,"M,S","160,165",,,,,裤,
2201300000000,,S,160,,灰,"优衣库,优衣库",,卫衣,
725422901,,M,"160,165,170",,"白,黄",,韩版,"短袖,裤",纯棉
1081723195,冬,,,,橙,,,裤,
748660183,,S,,女,黑,NIKE,,裤,
2858582176,,M,170,,,,专柜,裤,
64093373,,"L,S",180,男,,"阿迪达斯,阿迪",,外套,
1659115287,,,,,,,,,
2936027343,,L,,,白,,,卫衣,
381195533,夏,,,,,,,裤,
367280598,,"M,S",,"男,女",蓝,"阿迪达斯,阿迪",,,
322028098,,S,,,,"阿迪达斯,阿迪",透气,短袖,
3578532632,,L,165,女,,耐克,,卫衣,
679443564,,M,165,,,安踏,,"裙,连衣裙",
1081723195,冬,,,,,,,裤,
2207920000000,夏,S,,男,,NIKE,舒适,裤,
64319326,夏,M,,,,JORDAN,,,
717957982,,,,女,,,,裤,
1795542413,,"L,S",,,"黑,白",耐克,,,
353342004,夏,,,,,,舒适,裤,
2206680000000,,"XL,L,M,S",180,男,,,,短袖,
429951191,,M,,女,,"阿迪达斯,阿迪",,裤,
679443564,,"M,S",,女,,,情侣,"卫衣,打底衫",
1069129461,,,,女,,,,"裤,直筒",纯棉
2046477178,,"L,M",,男,,,"舒适,大码",裤,涤纶
2032296678,春,S,,女,,,"宽松,圆领,印花","长袖,卫衣",
106727138,,S,175,,,"阿迪达斯,阿迪",透气,短袖,
919297852,春,,180,男,,,,卫衣,
429951191,,,,"男,女",,耐克,,卫衣,
2313501182,,"M,S",170,男,,,,,
429951191,,"XXL,XL,L",,,,阿迪,,外套,
429951191,,,,男,,耐克,,卫衣,
429951191,,"XXL,XL,L",,男,,"耐克,NIKE",,裤,
429951191,,"XXL,XL,L",,男,,"耐克,NIKE",,"外套,夹克",
31851861,,S,,,,,,长袖,
2299435501,,L,"175,180",,橙,NIKE,,外套,
2632349808,,M,,,,"阿迪达斯,阿迪",,裤,
56430027,"春,秋",S,170,女,,"阿迪达斯,阿迪",,"卫衣,夹克",
2204160000000,,L,,,,JORDAN,,半袖,
646576925,,,,,,,,短袖,
797642272,,M,,,,"阿迪达斯,阿迪,李宁,优衣库,优衣库,HM",,裤,
1998617703,,"XL,L,M",160,,黑,"耐克,NIKE",,裤,
919297852,夏,,180,男,,拉夏贝尔,,裤,
919297852,夏,,180,男,,拉夏贝尔,,裤,
919297852,夏,,180,男,,拉夏贝尔,,裤,
154584068,,S,,,,"阿迪达斯,阿迪",,外套,
429951191,,"XL,L,M,S",,,,阿迪,,外套,聚酯纤维
429951191,,M,160,女,,"耐克,NIKE",,外套,
429951191,,M,,,,阿迪,,外套,
2207840000000,,"XL,L,M",,,黑,"阿迪达斯,阿迪,耐克,安踏,李宁,乔丹",专柜,短袖,
3991505853,,,,,,,,,
50094854,,L,,,,李宁,,卫衣,
739068270,夏,S,165,,,"阿迪达斯,阿迪",,,
2178376040,,S,,,,"阿迪达斯,阿迪",,短袖,
3559692571,,"L,S",,,黑,"阿迪达斯,阿迪",,短袖,
723754682,,M,,,,"阿迪达斯,阿迪","透气,圆领",短袖,纯棉
657877006,冬,L,,女,,,,防晒衣,
664745611,,"XL,L",180,男,,,,"裤,卫衣",
