item_id,适用季节,尺码一,尺码二,适用年龄那段,服装颜色,品牌,服装风格,服装类型,服装材质
2206390000000,,,,,,,,,
40759833,夏,"L,S",,女,,DAZZLE,圆领,短袖,
380023870,夏,S,,女,黑,拉夏贝尔,,上衣,
38987789,,,160,,,,,,
3323786748,"春,夏","XL,L,M",,"男,女",,,"宽松,情侣","裤,直筒",
1804121933,,,,,,,,,
1956483433,春,M,,女,红,,百搭,,纯棉
3820783277,,S,,,,,"复古,印花","裙,连衣裙",
2440484195,,L,,女,"白,蓝",,"宽松,圆领,百搭",,
2591013242,"春,秋,冬","XL,L",,女,青,,,,
134891493,,"M,S",,,,,专柜,裙,
1643042824,,,,女,,,,"上衣,裤,裙",牛仔
923979601,,,170,,黑,,"宽松,印花",短袖,纯棉
106727138,,"L,M",165,女,红,,宽松,"短袖,直筒",
719658416,,S,,,,,"宽松,校园",裙,牛仔
3876046682,,M,,,,HM,,裙,
45478537,,"L,M,S",160,,,,专柜,衬衫,
2207980000000,,,,,,,"V领,韩版",长袖,
2440484195,夏,"2XL,XL,L,M",,女,,,"学生,宽松,印花,韩版,卡通,大码","短袖,半袖,上衣",
3820783277,,,,,,,,"裙,连衣裙",
835999023,,M,,女,绿,,喇叭,"上衣,裤,九分裤",
852535258,夏,,165,女,,,圆领,半袖,
1748667310,"夏,秋",M,,女,红,,,中袖,
388568734,夏,S,,女,,,"复古,中式","上衣,衬衫,外套",
2381910981,,,,女,绿,,"复古,性感",裙,
1865229573,,,160,女,青,,专柜,上衣,
1764470781,,,,,白,,,裤,
1056528756,夏,L,160,女,,,专柜,"短袖,上衣",
48549512,,,,,,巴黎世家,,短袖,
265241100,,,,女,,,,衬衫,
2207210000000,夏,,,,,,"学生,宽松,情侣,卡通",短袖,
2633521789,夏,S,,女,,,"V领,百搭","裙,连衣裙",
329394170,,,,女,,,,"裙,连衣裙",
1056528756,,,,,,,,中袖,
719658416,,"M,S",,,,,,裙,牛仔
3082527990,,"L,S",,女,绿,,宽松,上衣,
2091585522,"春,秋",,,女,,,大码,,
672927069,,,,,,,,"裤,裙,连衣裙",
355532033,,,,,,,,,
98440204,,M,,女,,,,,
217806689,夏,S,,,黑,,,"上衣,裤,一字肩",牛仔
719658416,,M,,,,,,裤,牛仔
2091585522,,,,女,,,大码,,
414744991,,M,,,"橙,绿",,,裙,
2196133195,"春,秋","L,S",,,,JUSLIN,复古,裙,
1731068935,,,,女,,,,,
2208200000000,,,,女,,,韩版,裤,牛仔
3169578453,,,180,女,,,大码,,
150484462,夏,,,,,,,长袖,
740455104,,,,女,,,复古,"长袖,衬衫",
23168988,,S,,女,,,,"裙,连衣裙",
3166401058,,,,女,"黑,白",潮牌,"潮牌,日系",短袖,纯棉
106727138,,L,,,,,专柜,"裙,连衣裙",
457182038,春,"L,S",,,纯色,,"日系,专柜","长袖,上衣",
3376902396,,,,女,"白,黄",,"学生,宽松,舒适,大码",短袖,
1731068935,,,,女,,,,,
2196133195,"春,秋","L,S",,,,JUSLIN,复古,裙,
217806689,夏,S,,,黑,,,"上衣,裤,一字肩",牛仔
3034436021,,L,,,,,印花,,
414744991,,M,,,"橙,绿",,,裙,
719658416,,,,,纯色,,,卫衣,
811114201,,S,,,红,,专柜,上衣,纯棉
783924867,,,,女,,,,裤,
2274904591,"春,夏",M,,女,青,,"修身,韩版","裙,连衣裙",牛仔
1726465191,夏,"L,M,S",,女,绿,盛夏午夜,,"裙,连衣裙",
2143518984,,M,,女,,,,"裙,连衣裙",
1051545502,夏,,,女,,,,上衣,
110346023,春,M,,女,黑,,"修身,喇叭,大码",上衣,
587189732,夏,,,,,,,"短袖,裙,连衣裙",纯棉
811924639,,,,,,"优衣库,优衣库",,"裙,连衣裙",
352877021,"春,秋",L,165,,"红,蓝",,V领,裙,
2201410000000,"春,秋",M,,,,,,外套,
3257653467,,M,,,,,,"裙,连衣裙",
2912450132,夏,"XL,L",,女,,,,"裙,连衣裙",
110346023,"春,秋","2XL,XL,L,M",,女,蓝,,"修身,大码","长袖,上衣,外套",牛仔
1983018699,,M,,,,,,裙,
110346023,"秋,冬",M,,,黑,,大码,,
834363678,,"L,M",165,女,"黑,灰",,,短袖,
61888868,,,,,黑,潮牌,"潮牌,宽松,印花",裙,
2747326165,,"L,S",,女,,,,,
110346023,冬,"M,S",,,,,专柜,"裙,连衣裙",
515058089,,,,,,,,"上衣,外套",
63203125,,"L,M,S",,女,,,,短袖,
2186686926,夏,,,,,,,"裙,连衣裙",
18445202,,"XL,L",,女,,,日系,"短袖,上衣",
2874544788,"春,夏",,,,绿,,宽松,长袖,
