编号,itemId
1,itemId=618504255890
2,itemId=616629893103
3,itemId=617135444475
4,itemId=617747005153
5,itemId=615354298116
6,itemId=615181416871
7,itemId=607992699829
8,itemId=617786634802
9,itemId=617735773132
10,itemId=617401272360
11,itemId=617814760722
12,itemId=618546071330
13,itemId=617766524370
14,itemId=617247725530
15,itemId=618063370311
16,itemId=618095309621
17,itemId=616914357581
18,itemId=618177449280
19,itemId=618417630858
20,itemId=603137699917
21,itemId=614746847933
22,itemId=617060365670
23,itemId=602833353530
24,itemId=618248466556
25,itemId=617432875438
26,itemId=616095345326
27,itemId=617957609873
28,itemId=617455036107
29,itemId=613950358418
30,itemId=617387160823
31,itemId=598423669619
32,itemId=617974335602
33,itemId=611012390256
34,itemId=597982830824
35,itemId=616352765787
36,itemId=615299465886
37,itemId=618200881977
38,itemId=617892702980
39,itemId=618202630137
40,itemId=618515239532
41,itemId=597970159288
42,itemId=617824540959
43,itemId=618514799895
44,itemId=617654445731
45,itemId=613698265099
46,itemId=612469180170
47,itemId=618376142522
48,itemId=607475598085
49,itemId=618031305437
50,itemId=600927628638
51,itemId=617543982023
52,itemId=599011259478
53,itemId=615932243428
54,itemId=618332898242
55,itemId=617738708935
56,itemId=618648583553
57,itemId=617708333319
58,itemId=618717603284
59,itemId=618191005754
60,itemId=618078177940
61,itemId=618372258775
62,itemId=617514504767
63,itemId=612961052073
64,itemId=615024561804
65,itemId=618659955630
66,itemId=612280138817
67,itemId=617225668414
68,itemId=617554432373
69,itemId=596728502468
70,itemId=616739765635
71,itemId=616874062117
72,itemId=616150894001
73,itemId=618064147873
74,itemId=568989705225
75,itemId=617947183371
76,itemId=617680518093
77,itemId=605214987359
78,itemId=616602819080
79,itemId=617131214177
80,itemId=586385989526
81,itemId=617674316545
82,itemId=617991169714
83,itemId=614589067451
84,itemId=618459463660
85,itemId=617498782868
86,itemId=575386560131
87,itemId=608122985898
88,itemId=604731807697
89,itemId=609781942437
90,itemId=598240593286
91,itemId=595725335822
92,itemId=617540604958
93,itemId=617489064453
94,itemId=615599860455
95,itemId=617703061784
96,itemId=617714493468
97,itemId=593401885402
98,itemId=609732292449
99,itemId=594797368775
100,itemId=615418884479
