卖家信用评级,卖家信用描述,卖家发货地址,商品名称,商品价格（元）,商品数量,商品描述,
A,信用极好,发布于广州,hm短袖衬衫，fp短袖polo！,28,1,"hm短袖衬衫，fp短袖polo！
,短袖衬衫，全新
,polo，下水一次，穿过一回
具体尺码看最后两张图片。。",null
A,信用极好,发布于宁德,NFL橄榄球衣 Patriots 爱国者12橄榄球衣短袖,90,1,"NFL橄榄球衣 Patriots 爱国者12橄榄球衣短袖
吊牌在，衣服很新就穿过一两回
BRADY汤姆布莱迪 二代传奇刺绣球衣
细节都拍出了 XL码99新
工艺很好，非几十块钱的普通货
胸围106 衣长70
二手衣物售出不退换，谢谢配合",null
A,信用极好,发布于佛山,短款一字肩泡泡袖上衣 hm入,20,1,"短款一字肩泡泡袖上衣 hm入
码数：m   一字肩 图二本人上身图  身高：163
就穿过一次 九成新 已读不回不礼貌的不要来
感兴趣的话点“我想要”和我私聊吧～",null
A,信用极好,发布于大连,婴儿连体衣男童春秋装外出服宝宝衣服绅士百天周岁礼服哈衣满月服,48,1,"婴儿连体衣男童春秋装外出服宝宝衣服绅士百天周岁礼服哈衣满月服

只穿过周岁生日宴一次。
包邮，不议价，议价不回。
第一件和第四件也有，全新。
【送】凯叔声律启蒙音频全集

【提示】二手货品，售出不退。",null
A,信用极好,发布于嘉兴,LIHONN 丽红家 闲置T 几乎全新 都是出去旅游或者拍照,80,1,LIHONN 丽红家 闲置T 几乎全新 都是出去旅游或者拍照 穿过一两回 诚信交易不退换货,null
B,信用优秀,发布于北京,(裙子在宿舍 不能回学校 寄不了快递）梗豆物语】适合春夏清新,138,1,"(裙子在宿舍 不能回学校 寄不了快递）梗豆物语】适合春夏清新可爱原创JK制服百褶裙裙…
颜色分类A款短裙一团[90天发],尺码XS
穿过一次 有同格领结",null
A,信用极好,发布于延边朝鲜族,U.S. POLO ASSN.男士polo衫刺绣纯棉潮流时尚,88,1,U.S. POLO ASSN.男士polo衫刺绣纯棉潮流时尚短袖t恤。托朋友从美国直邮过来的，紫色 L码，相当于国内XL码。因颜色特殊老公只穿过一回就一直闲置，几乎全新，无瑕疵。实物颜色比第一图深一点，比第三图浅一些，自然紫色。,null
A,信用极好,发布于哈尔滨,因为原来胖，现在衣服都穿不了了，这个就穿过一两回，,29.9,1,"因为原来胖，现在衣服都穿不了了，这个就穿过一两回，
感兴趣的话点“我想要”和我私聊吧～不包邮",null
A,信用极好,发布于上海,北冥有渔印花雪纺蕾丝连衣裙女夏2019新款ins…,39,1,"北冥有渔印花雪纺蕾丝连衣裙女夏2019新款ins…
颜色分类:白色,尺码:S

试穿清洗后没再找到机会穿过。
材质有点扎人，有一侧袖口线缝的不紧，蕾丝脱线了，需要缝一缝。
工作比较忙，佛系卖，信息可能回的不及时，有需要直接拍，已最低价，包邮。",null
A,信用极好,发布于上海,优衣库粉色短袖，买了就穿过一回，转给需要的朋友，50块钱,99,1,"优衣库粉色短袖，买了就穿过一回，转给需要的朋友，50块钱
感兴趣的话点“我想要”和我私聊吧～",null
A,信用极好,发布于大连,穿过两回 下过一回水 100斤穿到160斤都可以夏季新款宽松,68,1,穿过两回 下过一回水 100斤穿到160斤都可以夏季新款宽松韩版懒人裙 图案：字母 品牌：爱里娜 颜色分类：绿色 服装版型：宽松 颜色分类：黑色 衣长：中长款 服装版型：宽松 流行元素：拼接 流行元素：印花 流行元素：拼接 流行元素：印花 袖长：短袖 领型：圆领 售出不退不换 不议价,null
